countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
UZB,Uzbekistan,2007,Upper middle income,22311393928,3.018591918,Europe & Central Asia,
UZB,Uzbekistan,2009,Upper middle income,33689223673,4.2841892,Europe & Central Asia,
UZB,Uzbekistan,2010,Upper middle income,39332770929,3.802113544,Europe & Central Asia,
UZB,Uzbekistan,2011,Upper middle income,45915191189,7.891844259,Europe & Central Asia,
UZB,Uzbekistan,2012,Upper middle income,51821573338,18.92340541,Europe & Central Asia,
UZB,Uzbekistan,2014,Upper middle income,63067077179,11.42178218,Europe & Central Asia,
UZB,Uzbekistan,2015,Upper middle income,66903804143,4.159595812,Europe & Central Asia,
UZB,Uzbekistan,2016,Upper middle income,67445712840,3.421091513,Europe & Central Asia,
UZB,Uzbekistan,2017,Upper middle income,49677172714,6.590142016,Europe & Central Asia,
